[2023-01-13 10:28:44,683: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:28:45,717: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:28:46,764: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:28:47,818: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:28:48,912: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:28:49,946: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:28:50,993: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:28:52,047: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:28:53,109: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:28:54,176: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:28:55,222: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:28:56,261: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:28:57,308: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:28:58,361: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:28:59,407: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:29:00,430: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:29:01,477: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:29:02,515: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:29:03,562: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:29:04,616: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:29:05,663: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:29:06,698: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:29:07,745: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:29:08,795: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:29:09,857: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:29:10,892: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:29:11,954: WARNING] Устройство с адресом 1 недоступно
